timeindex;input;cmp_Q;output;exp_Q;cas_Pi_o;cmp_m;exp_m
2030-02-12 05:00:00;0.0;;49.99999999999999;58.74158912487621;30.287386621554283;0.0;51.42033100410924
2030-02-12 06:00:00;0.0;;50.0;58.74160268425363;30.284780773350686;0.0;51.42053828488283
2030-02-12 07:00:00;0.0;;50.0;58.741616243685705;30.282174914642642;0.0;51.42074556649199
2030-02-12 08:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 09:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 10:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 11:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 12:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 13:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 14:00:00;0.0;;0.0;0.0;30.282174914642642;0.0;0.0
2030-02-12 15:00:00;0.0;;50.0;58.741629803172444;30.279569045430105;0.0;51.420952848936714
2030-02-12 16:00:00;0.0;;50.0;58.74164336271384;30.276963165713035;0.0;51.421160132217025
2030-02-12 17:00:00;0.0;;50.0;58.74165692230989;30.27435727549139;0.0;51.42136741633292
2030-02-12 18:00:00;0.0;;49.99999999999999;58.7416704819606;30.271751374765127;0.0;51.42157470128439
2030-02-12 19:00:00;0.0;;50.0;58.741684041665984;30.269145463534205;0.0;51.421781987071455
2030-02-12 20:00:00;0.0;;50.0;58.74169760142602;30.26653954179858;0.0;51.42198927369411
2030-02-12 21:00:00;0.0;;50.0;58.741711161240715;30.263933609558208;0.0;51.422196561152354
2030-02-12 22:00:00;0.0;;50.0;58.741724721110074;30.26132766681305;0.0;51.422403849446205
2030-02-12 23:00:00;0.0;;50.0;58.74173828103409;30.25872171356306;0.0;51.42261113857565
2030-02-13 00:00:00;0.0;;50.0;58.74175184101277;30.2561157498082;0.0;51.422818428540694
2030-02-13 01:00:00;0.0;;50.0;58.74176540104611;30.253509775548423;0.0;51.423025719341354
2030-02-13 02:00:00;0.0;;50.0;58.741778961134116;30.25090379078369;0.0;51.423233010977626
2030-02-13 03:00:00;0.0;;49.99999999999999;58.74179252127678;30.248297795513956;0.0;51.4234403034495
2030-02-13 04:00:00;0.0;;50.0;58.74180608147411;30.245691789739183;0.0;51.423647596757014
2030-02-13 05:00:00;0.0;;50.0;58.7418196417261;30.243085773459324;0.0;51.42385489090014
2030-02-13 06:00:00;0.0;;50.0;58.74183320203276;30.24047974667434;0.0;51.42406218587888
2030-02-13 07:00:00;0.0;;50.0;58.741846762394076;30.237873709384186;0.0;51.42426948169325
2030-02-13 08:00:00;0.0;;50.0;58.741860322810055;30.23526766158882;0.0;51.42447677834326
2030-02-13 09:00:00;0.0;;25.0;30.28714188655732;30.233773937929428;0.0;29.4752681714234
2030-02-13 10:00:00;0.0;;0.0;0.0;30.233773937929428;0.0;0.0
